168,40.05219473,116.40363952,2009-10-12,23:55:10,2009-10-13,00:03:59,32000
168,40.24036177,116.54728513,2009-10-13,00:04:31,2011-05-29,02:47:27,32001
168,40.25572807,116.55340593,2011-05-29,08:26:28,2011-05-29,11:06:07,32002
168,40.00060352,116.38108278,2011-05-29,22:29:04,2011-05-30,13:59:50,32003
168,39.99140231,116.38102253,2011-05-30,22:36:28,2011-05-30,23:37:23,32004
168,39.95004610,116.32119955,2011-05-31,06:41:34,2011-05-31,07:03:50,32005
168,39.99013574,116.38061902,2011-05-31,22:27:58,2011-05-31,23:16:57,32006
168,39.95060747,116.36875516,2011-06-18,03:18:51,2011-06-18,04:27:48,32007
168,39.96996918,116.41526512,2011-06-18,10:23:03,2011-06-18,11:28:21,32008
168,39.97734418,116.35636506,2011-06-20,22:33:52,2011-06-21,11:40:46,32009
168,39.98688475,116.37032700,2011-06-21,22:43:03,2011-06-22,11:56:50,32010
168,40.00423626,116.38265132,2011-06-22,13:57:47,2011-06-23,23:54:35,32011
168,39.99751797,116.36097428,2011-06-26,02:50:34,2011-06-26,04:21:39,32012
168,40.00479158,116.38068331,2011-06-26,11:29:52,2011-06-27,13:43:38,32013
168,39.99627965,116.38160834,2011-06-27,22:40:28,2011-06-28,23:32:41,32014
168,39.97291246,116.32916523,2011-06-29,01:39:11,2011-06-29,11:59:54,32015
168,40.00466446,116.37653225,2011-06-29,14:13:04,2011-07-05,11:36:28,32016
168,39.92856514,116.35274369,2011-07-05,22:37:34,2011-07-06,02:44:32,32017
168,40.00657957,116.37580003,2011-07-06,11:39:58,2011-07-08,12:20:32,32018
168,40.00495748,116.37570173,2011-07-09,23:39:04,2011-07-10,00:06:18,32019
168,39.98399615,116.35261613,2011-07-10,10:10:58,2011-07-10,10:43:23,32020
168,40.06511220,116.40566851,2011-07-10,11:31:28,2011-07-10,11:37:33,32021
168,40.01091334,116.38692610,2011-07-10,12:09:30,2011-07-11,14:23:56,32022
168,39.94180219,116.35814045,2011-07-11,22:57:58,2011-07-12,22:57:06,32023
168,39.96349019,116.33714051,2011-07-13,01:30:59,2011-07-13,14:29:11,32024
168,40.01522568,116.38197609,2011-07-14,10:15:52,2011-07-14,12:50:41,32025
168,40.00294801,116.36868864,2011-07-16,00:26:04,2011-07-16,09:54:22,32026
168,40.01110481,116.37879803,2011-07-17,22:27:04,2011-07-19,14:26:37,32027
168,40.00772121,116.37772718,2011-07-20,11:45:28,2011-07-21,14:08:32,32028
